file_name,a0_spectral_entropy,a0_spectral_centroid,a0_spectral_flatness,a0_spectral_bandwidth,a0_std_dev_time_diff,a0_mean_time_diff,a0_median_time_diff,a0_max_peak,a0_median_peak,a0_std_peak,a0_peaks_per_second,a0_sum_peak_magnitude,a0_percent_time_above_threshold,a0_num_boilings,a0_unused_peak_proportion,a1_spectral_entropy,a1_spectral_centroid,a1_spectral_flatness,a1_spectral_bandwidth,a1_std_dev_time_diff,a1_mean_time_diff,a1_median_time_diff,a1_max_peak,a1_median_peak,a1_std_peak,a1_peaks_per_second,a1_sum_peak_magnitude,a1_percent_time_above_threshold,a1_num_boilings,a1_unused_peak_proportion,num_peak_mag_high_diff,avg_peak_mag_diff,peak_mag_correlation
"MATLAB 2-01 PM Mon, Oct 28, 2024 Run1 .csv",5.424039306670872,2292.5655009707666,0.28542107118207427,1319.472836948963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.945379818808108,2385.560939433971,0.38757654867651664,1147.0650436706114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0364759224653244,1.0
"MATLAB 2-52 PM Tue, Oct 22, 2024 Run11 .csv",5.49012532734166,2335.275887778672,0.2381438322189424,1288.1890884863362,7.378202337253875e-05,0.07316153839671681,0.07319999993513981,0.1417252647876739,0.12866664230823516,0.010776653230445113,14.001400152419281,1.7921967434883115,0.0013,3,0.0,5.710376304118723,2304.4292014245875,0.29749870713938203,1184.4964476885264,0.000914446836220124,0.07326153839662825,0.073199999935158,0.1028080189228057,0.09682791709899895,0.007436280468828187,14.001400152419281,1.3103587293624874,0.0018,3,0.0,0,0.034417001008987445,-0.633208119970608
"MATLAB 12-14 PM Tue, Apr 2, 2024 Run1 .csv",4.502636519985092,1288.3882806041106,0.12092001482661438,830.2725778150428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.43667913424552,1484.9154637214062,0.11220348057686198,573.8363800014885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 2-21 PM Mon, Oct 28, 2024 Run4 .csv",5.846054482182057,2381.392994755526,0.27719826243867185,1362.1491575553855,0.0016219922786490626,0.13991126748179003,0.1399999998765722,0.1523258578777313,0.13608795702457424,0.00869828467916804,7.200072007093318,9.978448535203931,0.00091,1,0.0,5.902855059165433,2600.819522812403,0.27680004635389593,1191.930882197708,0.0009833830646622703,0.13989999987616628,0.14019999987639586,0.1775718212127685,0.13962834179401395,0.02684630745294003,7.200072007093318,10.053088970184325,0.00125,1,0.0,0,0.02955958020355968,-0.642805980950954
"MATLAB 5-01 PM Thu, Oct 10, 2024 Run13.csv",5.744145354559768,2651.052542660503,0.20668996410241122,1222.7686855573306,0.0031902856029386853,0.0887252251466919,0.08859999992188783,0.0836623120307922,0.0784269118309021,0.0037916978028876215,11.20011201103405,8.705477811098095,0.00269,3,0.0,5.751993030252215,3114.282329144757,0.1737063868216823,992.9932375347355,0.0030902881215828636,0.08870540532688961,0.08789999992211461,0.1312486815452576,0.1080588400363922,0.016888012221736096,11.20011201103405,11.632261211872098,0.00204,3,0.0,0,0.026804961487650873,-0.48144228246698173
"MATLAB 2-17 PM Thu, Oct 3, 2024 Run0 .csv",4.3438048374044325,1219.5462249617635,0.774421681026566,1656.2634578152138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.2879887582130563,1060.4341695234639,0.3858492030859802,1646.146071409603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
"MATLAB 12-54 PM Tue, Apr 2, 2024 Run5 .csv",4.463769549876189,1782.2040633462275,0.12500990663799885,563.6919212030301,0.08193837864229113,0.10852391294741635,0.07944999992960189,0.0559419345855712,0.03585169672966,0.005957674382154569,9.400188012080811,1.7674590277671793,0.0048,3,0.0425531914893617,4.235723595699961,1866.343230693452,0.14529631939168375,705.4757172336335,0.11685342208561264,0.14337878775185392,0.1089999999034488,0.036899676322937,0.0257179075479507,0.0036129272286060535,6.800136008739311,0.8898644673824295,0.00476,3,0.14705882352941177,1,0.01209014752331902,-0.1555329955479943
"MATLAB 3-19 PM Thu, Oct 17, 2024 Run4 .csv",5.2640431861766,2030.782718983694,0.24504009220563364,1345.0175352145675,0.0008929416972295484,0.06545886208624484,0.06539999994205115,0.1294495749473572,0.10424634039402006,0.008045033412124133,15.266717569293181,48.263170285224895,0.0023366666666666666,3,0.0,4.643737065321632,1555.7677512242713,0.2328953367548192,1335.479780182068,0.0007243900443838009,0.06545886208624485,0.06549999994167166,0.1587595915794372,0.1102688497304916,0.020132063322232756,15.266717569293181,49.182966746091836,0.0039766666666666665,3,0.0,5,0.02089422834752429,-0.21363865679938138
"MATLAB 2-58 PM Tue, Oct 8, 2024 Run3 .csv",5.7347914054802995,2265.904553074102,0.2782656758972702,1292.0610939055493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.953096184601492,2650.391659954931,0.32483441135481744,1182.991360066508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.024031566381454483,0.0
"MATLAB 1-27 PM Fri, Sep 13, 2024 Run0 .csv",2.2860915293552453,1332.4584952359485,0.10285828040829383,602.6900435294293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0074950708753074,1277.9121781119718,0.05437234353716821,390.7514018204948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.004977742433548,0.0
